iter	PRAUC	Logloss
324	0.9627852922	0.3059636064
325	0.963028374	0.3055669215
326	0.9630290629	0.3055585501
327	0.9632468399	0.3051253858
328	0.9634018213	0.3043475774
329	0.9635582934	0.3038035483
330	0.9636728793	0.303426985
331	0.9636789459	0.3033810345
332	0.9636808568	0.3033755995
333	0.9639018594	0.302923991
334	0.9641169082	0.3024013184
335	0.9643287169	0.3020031679
336	0.9645445273	0.3014245686
337	0.9646924734	0.3007754458
338	0.9647983521	0.3005058358
339	0.9647386198	0.2999774794
340	0.9647417429	0.2999601334
341	0.9647431885	0.2999557499
342	0.9648818016	0.2996777658
343	0.9648823123	0.299668429
344	0.9650484429	0.2991920653
345	0.9655157628	0.2986997055
346	0.9657710823	0.2982724699
347	0.9659150204	0.2979335156
348	0.9662075042	0.2973635543
349	0.9667122205	0.2964831348
350	0.9673187766	0.2957068723
351	0.9673834414	0.2954110881
352	0.9675303348	0.2951153837
353	0.9677184978	0.2947486194
354	0.9680531659	0.294297866
355	0.9685626154	0.2933778663
356	0.9687901811	0.2928900397
357	0.9687919658	0.2928860692
358	0.9689012187	0.2924859322
359	0.9691355035	0.2919293302
360	0.9692278398	0.291503484
361	0.9694221396	0.2911031731
362	0.9694389313	0.2909960388
363	0.9696144946	0.290552897
364	0.9698617358	0.2900375302
365	0.969963609	0.2896516788
366	0.9699672199	0.2896293294
367	0.9700169781	0.2893614701
368	0.9703083572	0.2887378301
369	0.9704684647	0.2883710897
370	0.9704850842	0.2883342656
371	0.9708528532	0.287626286
372	0.9709697956	0.2874117725
373	0.9712691175	0.2869239838
374	0.9713717788	0.2866082923
375	0.9715274268	0.2861725773
376	0.9716670593	0.2859082297
377	0.9717005147	0.2857318057
378	0.9718691669	0.2852476672
379	0.9721763472	0.2846580235
380	0.9722713459	0.284331288
381	0.9724473484	0.2839066929
382	0.9726474032	0.2831933402
383	0.9727462765	0.2830016623
384	0.9727469974	0.282998413
385	0.9727484266	0.2829904874
386	0.9727491851	0.2829864714
387	0.9727496871	0.2829825712
388	0.9728452533	0.2826328219
389	0.972846516	0.2826312879
390	0.9728475561	0.2826275151
391	0.9728486632	0.2826201639
392	0.9730825685	0.2821760985
393	0.9733558721	0.2816158305
394	0.973469335	0.2811962008
395	0.9736597969	0.280729591
396	0.9737246621	0.2805024667
397	0.9738074341	0.2799377854
398	0.9738079711	0.279934801
399	0.973915444	0.2796291693
